time,ax,ay,az
27.324,882.0,-90.0,-416.0
27.448,922.0,-121.0,-281.0
27.712,913.0,-161.0,-257.0
27.836,834.0,-156.0,-382.0
27.96,698.0,-145.0,-584.0
28.084,516.0,-114.0,-769.0
28.208,274.0,-46.0,-917.0
28.332,61.0,14.0,-966.0
28.456,-124.0,90.0,-973.0
28.58,-200.0,114.0,-968.0
28.844,-205.0,129.0,-969.0
28.968,-121.0,104.0,-977.0
29.092,-18.0,76.0,-986.0
29.216,104.0,36.0,-957.0
29.34,229.0,-4.0,-928.0
29.464,376.0,-50.0,-870.0
29.588,541.0,-85.0,-793.0
29.712,686.0,-101.0,-666.0
29.836,802.0,-110.0,-513.0
29.96,856.0,-117.0,-398.0
30.224,882.0,-114.0,-350.0
30.348,808.0,-101.0,-442.0
30.472,617.0,-48.0,-656.0
30.596,348.0,-5.0,-828.0
30.72,62.0,100.0,-952.0
30.848,-130.0,156.0,-944.0
31.252,-194.0,256.0,-969.0
31.376,-56.0,234.0,-972.0
31.5,106.0,201.0,-946.0
31.624,321.0,148.0,-882.0
31.748,485.0,109.0,-792.0
31.872,673.0,62.0,-670.0
31.996,793.0,25.0,-524.0
32.12,873.0,-5.0,-402.0
32.384,893.0,-37.0,-381.0
32.509,848.0,-30.0,-474.0
32.632,746.0,-12.0,-621.0
32.756,512.0,46.0,-772.0
32.88,246.0,129.0,-882.0
33.004,4.0,185.0,-937.0
33.128,-126.0,208.0,-966.0
33.252,-197.0,190.0,-969.0
33.376,-209.0,166.0,-970.0
33.5,-180.0,125.0,-970.0
33.624,-86.0,76.0,-970.0
33.748,25.0,49.0,-970.0
33.872,221.0,-5.0,-929.0
33.996,486.0,-45.0,-801.0
34.122,721.0,-117.0,-597.0
34.245,868.0,-158.0,-409.0
34.368,900.0,-216.0,-290.0
34.632,929.0,-250.0,-254.0
34.758,872.0,-244.0,-350.0
34.884,744.0,-244.0,-521.0
35.008,572.0,-224.0,-698.0
35.133,404.0,-198.0,-828.0
35.256,257.0,-140.0,-900.0
35.38,97.0,-61.0,-940.0
35.504,-117.0,73.0,-1042.0
35.628,-181.0,100.0,-1050.0
35.752,-202.0,86.0,-1066.0
35.877,-65.0,-9.0,-982.0
36.0,-53.0,13.0,-972.0
36.265,-404.0,120.0,-1334.0
36.388,-333.0,92.0,-1336.0
36.512,-192.0,62.0,-1304.0
36.636,354.0,6.0,-900.0
36.76,514.0,4.0,-820.0
36.884,650.0,54.0,-732.0
37.009,730.0,33.0,-625.0
37.132,820.0,25.0,-521.0
37.256,862.0,-24.0,-424.0
37.52,842.0,-48.0,-480.0
37.644,710.0,-50.0,-609.0
37.768,538.0,-61.0,-773.0
37.892,281.0,-65.0,-876.0
38.016,102.0,-28.0,-920.0
38.28,-128.0,-18.0,-934.0
