time,ax,ay,az
47.642,-12,29,-1089
47.906,-16,-25,-1054
48.03,-4,68,-1156
48.154,1,260,-1209
48.278,13,496,-1077
48.402,17,677,-722
48.526,-4,770,-324
48.65,-22,808,-46
48.774,-56,865,85
48.898,-62,906,120
49.162,-62,957,74
49.286,-57,933,-8
49.41,-60,860,-178
49.534,-77,778,-409
49.662,-73,617,-682
49.786,-52,441,-877
49.91,-37,232,-1022
50.034,-72,118,-1076
50.158,-108,37,-1117
50.282,-100,-8,-1104
50.406,-65,-61,-1076
50.95,-17,-80,-1060
51.074,-16,-6,-1156
51.198,-10,192,-1168
51.322,-1,444,-1017
51.446,-22,664,-629
51.57,-45,798,-234
51.694,-56,856,32
51.958,-45,942,130
52.082,-56,954,94
52.206,-66,922,-17
52.33,-73,798,-276
52.454,-44,585,-614
52.578,-12,349,-948
52.702,9,146,-1114
52.826,4,44,-1190
52.95,-12,-9,-1148
53.074,-18,-33,-1096
53.478,-48,-20,-1076
53.602,-50,68,-1125
53.73,-44,208,-1104
53.854,-33,454,-912
53.978,-40,688,-554
54.101,-54,866,-206
54.226,-49,916,21
54.77,-49,944,118
54.894,-46,929,16
55.018,-52,822,-238
55.142,-57,669,-549
55.266,-77,373,-918
55.389,-53,174,-1077
55.514,-10,20,-1189
55.778,21,-21,-1118
56.462,5,-42,-1092
56.586,1,100,-1149
56.71,-1,342,-1096
56.834,-6,613,-849
56.958,-22,768,-496
57.082,-48,844,-170
57.206,-66,877,17
57.609,-46,957,21
57.733,-41,937,-101
57.858,-28,854,-318
57.99,-38,725,-594
58.114,-46,537,-820
58.238,-110,101,-892
58.361,-108,-68,-953
58.486,-98,-196,-1005
58.61,-50,-40,-1085
59.294,-28,13,-1133
59.418,-30,126,-1200
59.542,-24,310,-1136
59.666,-10,533,-828
59.79,-10,720,-433
59.914,-29,820,-132
60.037,-42,872,41
60.162,-48,924,90
60.426,-40,978,34
60.55,-34,929,-62
60.674,-64,849,-249
60.798,-85,744,-500
60.922,-124,577,-740
61.046,-101,377,-940
61.17,-105,202,-1084
61.434,-98,88,-1166
61.557,-81,60,-1096
61.822,-57,78,-969
61.946,-46,253,-945
62.074,-21,528,-888
62.197,-30,921,-885
62.322,-9,1114,-749
62.445,-54,1046,-541
62.57,-74,837,-238
62.693,-124,713,-30
62.818,-132,796,142
62.942,-102,858,180
63.065,-82,933,196
63.19,-78,960,130
63.314,-112,992,108
63.438,-120,984,105
63.561,-109,926,72
63.685,-82,832,-58
63.81,-70,750,-297
63.934,-78,609,-574
64.058,-33,398,-805
64.181,57,253,-981
64.305,172,154,-1046
64.43,261,120,-1080
64.554,216,38,-1074
64.678,85,42,-1113
64.802,-60,76,-1102
64.925,-114,82,-1077
65.19,-41,56,-1088
65.314,2,172,-1249
65.438,72,353,-1325
65.562,38,548,-1094
65.686,-45,632,-649
65.813,-136,704,-229
65.937,-160,768,42
66.062,-129,848,197
66.326,-112,912,257
66.45,-133,952,209
66.573,-162,981,141
66.697,-104,925,41
66.822,-64,882,-73
66.945,-26,786,-314
67.07,-32,641,-598
67.193,-10,466,-846
67.317,-56,294,-1008
67.441,-82,216,-1094
67.565,-161,145,-1186
67.689,-153,112,-1176
67.813,-137,52,-1132
67.937,-60,-4,-1058
68.341,10,-2,-1168
68.465,70,88,-1333
68.59,80,293,-1281
68.713,54,484,-933
68.838,-34,658,-465
68.961,-124,736,-120
69.085,-144,812,98
69.21,-132,874,222
69.333,-64,918,241
69.737,-44,902,108
69.865,-72,884,-73
69.989,-53,853,-289
70.114,-33,806,-586
70.238,28,618,-765
70.361,73,414,-948
70.486,68,240,-1052
70.609,24,169,-1137
70.734,-28,129,-1129
70.857,-50,109,-1081
71.401,-58,46,-1022
71.525,-66,65,-1053
71.649,-93,140,-1180
71.773,-64,165,-1297
71.901,-33,266,-1232
72.025,-14,425,-890
72.15,-49,662,-410
72.273,-77,816,-77
72.397,-56,864,105
72.661,-34,909,169
72.925,-72,957,137
73.049,-36,890,50
73.173,-2,864,-74
73.297,9,825,-281
73.422,24,740,-474
73.545,50,576,-690
73.669,85,398,-841
73.793,33,312,-1054
74.061,-61,188,-1196
74.185,-70,138,-1086
74.309,-66,94,-1038
74.854,-32,64,-1254
74.977,24,108,-1360
75.101,13,293,-1253
75.23,-45,509,-748
75.353,-132,726,-290
75.477,-142,790,-17
75.601,-88,818,80
75.725,-89,881,158
75.989,-68,966,146
76.113,-37,949,64
76.237,-2,900,-69
76.361,20,852,-233
76.485,20,753,-508
76.609,1,600,-712
76.733,-36,416,-908
76.857,-84,228,-988
76.981,-176,110,-1117
77.105,-217,-8,-1266
77.23,-225,-28,-1250
77.354,-172,-53,-1169
77.897,-93,-32,-1100
78.025,-45,-41,-1332
78.149,-20,6,-1414
78.274,-50,184,-1172
78.397,-78,398,-624
78.521,-172,654,-138
78.646,-185,770,125
78.769,-178,874,206
78.893,-90,885,186
79.017,-56,912,108
79.141,-41,902,22
79.265,4,906,-68
79.389,49,848,-233
79.513,76,804,-422
79.637,58,642,-648
79.761,44,465,-866
79.886,10,221,-1001
80.149,-84,54,-1089
80.413,-138,78,-1108
80.537,-98,34,-1080
80.942,-5,-16,-1165
81.065,49,-29,-1328
81.189,84,16,-1373
81.313,50,177,-1112
81.437,-6,156,-772
81.562,-100,393,-372
81.685,-136,530,-97
81.809,-153,866,150
81.936,-133,920,189
82.061,-140,964,153
82.186,-177,986,102
82.309,-124,945,52
82.433,-18,838,-93
82.557,121,733,-313
82.681,186,598,-537
82.805,125,480,-817
82.929,73,317,-1052
83.053,12,184,-1132
83.177,56,69,-1133
83.301,30,8,-1085
83.425,-13,0,-1134
83.549,-61,8,-1074
83.813,-49,-16,-1044
83.937,-41,-22,-1146
84.061,-9,-18,-1297
84.185,-25,146,-1329
84.31,-45,390,-1008
84.433,-116,654,-498
84.557,-164,761,-17
84.681,-146,782,224
84.805,-104,821,297
85.209,0,826,270
85.333,18,801,-16
85.457,37,712,-418
85.581,24,538,-841
85.705,-4,294,-1097
85.829,-21,124,-1245
85.957,-52,41,-1233
86.081,-65,20,-1146
86.485,-77,-4,-1182
86.609,-53,65,-1297
86.733,-33,238,-1244
86.857,-20,480,-877
86.981,-30,682,-410
87.105,-38,788,-62
87.229,-28,837,129
87.493,2,900,158
87.617,8,876,102
87.741,-18,821,-37
87.865,-54,738,-321
87.989,-77,600,-689
88.113,-65,420,-1020
88.237,-9,226,-1137
88.361,8,85,-1161
88.486,20,6,-1145
88.609,-20,-33,-1118
88.733,-14,-46,-1080
88.857,-25,-68,-1098
88.982,-17,-33,-1257
89.105,-42,160,-1262
89.229,-49,406,-1033
89.353,-9,614,-638
89.477,18,712,-348
89.601,-6,781,-172
89.725,-76,873,-54
89.993,-38,884,-24
90.118,0,801,-157
90.241,26,680,-369
90.365,20,506,-769
90.489,40,301,-1024
90.613,29,138,-1202
90.737,-62,52,-1209
90.861,-84,18,-1194
90.986,-73,-49,-1134
91.109,16,-94,-1069
91.233,24,-126,-1114
91.357,41,-44,-1253
91.481,36,97,-1273
91.605,-1,318,-1072
91.729,-38,534,-664
91.854,-102,724,-333
